"","...1.x","Data Venda","User ID","Product ID","Product Name","Brand","Category","Price","Rating","Color","Size","Unique ID","...1.y","Motivo devolução"
"20",20,"3/26/2022",56,20,"Dress","Gucci","Men's Fashion",34,1.88305563482606,"Green","L","ID117117117",NA,NA
"21",21,"12/2/2022",87,21,"Jeans","H&M","Men's Fashion",67,2.64010349758292,"Yellow","S","ID118018018",NA,NA
"22",22,"10/25/2022",56,22,"Jeans","Gucci","Women's Fashion",42,2.42616716302047,"Green","L","ID118918919",NA,NA
"23",23,"10/29/2022",60,23,"Jeans","Zara","Kids' Fashion",30,1.77936155860949,"Yellow","M","ID119819820",NA,NA
"24",24,"6/5/2022",64,24,"Jeans",NA,"Women's Fashion",74,3.25991358043754,"Yellow","XL","ID120720721",NA,NA
"25",25,"6/10/2022",65,25,"Sweater","H&M","Kids' Fashion",37,2.77861351468925,"Green","S","ID121621622",6,"Produto com defeito"
"26",26,"1/22/2022",26,26,"Dress","Gucci","Women's Fashion",72,3.02603203457844,"Green","S","ID122522522",NA,NA
"27",27,"9/14/2022",82,27,"T-shirt","Adidas","Kids' Fashion",90,3.72631947176156,"Red","L","ID123423423",NA,NA
"28",28,"8/14/2022",87,28,"Shoes","Zara","Women's Fashion",NA,3.03277558187887,"Yellow","L","ID124324324",NA,NA
"29",29,"1/4/2022",98,29,"Shoes","Gucci","Women's Fashion",58,2.60813839383443,"Yellow","M","ID125225225",NA,NA
"30",30,"10/22/2022",20,30,"Sweater","Nike","Kids' Fashion",75,3.28973074197758,"Green","XL","ID126126126",NA,NA
"31",31,"12/15/2022",36,31,"Jeans","H&M","Kids' Fashion",67,2.90047544020275,NA,"S","ID127027027",NA,NA
"32",32,"11/19/2022",98,32,"T-shirt","Nike","Kids' Fashion",60,2.68182686343882,"White","XL","ID127927928",NA,NA
"33",33,"7/31/2022",69,33,"Jeans","H&M","Kids' Fashion",46,2.65187806256448,"Green","XL","ID128828829",NA,NA
"34",34,"6/12/2022",31,34,"Jeans","H&M","Men's Fashion",42,2.67830910127242,"Black","S","ID129729730",NA,NA
"35",35,"9/26/2022",48,35,"Jeans","Zara","Women's Fashion",62,2.53456959592046,"Blue","L","ID130630631",NA,NA
"36",36,"11/13/2022",18,36,"Dress","H&M","Kids' Fashion",48,2.23433648670827,"Green","S","ID131531531",4,"Produto com defeito"
"37",37,"2/2/2022",27,37,"Sweater","Zara","Kids' Fashion",56,2.73367013335652,"Blue","S","ID132432432",NA,NA
"38",38,"8/7/2022",60,38,"T-shirt","Nike","Kids' Fashion",45,2.27002714540064,"Yellow","S","ID133333333",NA,NA
"39",39,"3/11/2022",46,39,"Jeans","Adidas","Men's Fashion",32,2.19827886189722,"Yellow","M","ID134234234",195,"Não informado"
"40",40,"4/9/2022",84,40,"Dress","Zara","Women's Fashion",49,2.66136834875885,"Black","XL","ID135135135",NA,NA
"41",41,"1/12/2022",43,41,"Jeans","Gucci","Women's Fashion",50,2.4905565862504,"Blue","L","ID136036036",NA,NA
"42",42,"10/31/2022",43,42,"Shoes","Zara","Kids' Fashion",71,3.36631982748126,"Red","S","ID136936937",166,"Não informado"
"43",43,"10/10/2022",91,43,"T-shirt","Adidas","Men's Fashion",40,1.99231420789152,"White","M","ID137837838",NA,NA
"44",44,"1/15/2022",78,44,"Jeans","Nike","Kids' Fashion",42,2.43437935809819,"White","M","ID138738739",262,"Arrependimento"
"45",45,"10/13/2022",60,45,"Jeans","Gucci","Women's Fashion",55,2.57143898345142,"Red","L","ID139639640",NA,NA
"46",46,"12/21/2022",44,46,"Dress","Zara","Men's Fashion",48,1.84809694293026,"Yellow","XL","ID140540540",NA,NA
"47",47,"12/15/2022",93,47,"Jeans","Zara","Men's Fashion",28,1.96582928547521,"Green","S","ID141441441",76,"Produto com defeito"
"48",48,"12/25/2022",74,48,"T-shirt","Gucci","Kids' Fashion",52,2.39983656364478,"Green","M","ID142342342",209,"Arrependimento"
"49",49,"11/23/2022",19,49,"Sweater","Gucci","Kids' Fashion",38,2.47279439840925,"Green","XL","ID143243243",NA,NA
"50",50,"1/26/2022",98,50,"T-shirt","H&M","Women's Fashion",44,2.42285182172211,"Blue","L","ID144144144",NA,NA
"51",51,"6/24/2022",51,51,"Jeans","Adidas","Women's Fashion",55,2.73235213156971,"Yellow","XL","ID145045045",NA,NA
"52",52,"10/11/2022",80,52,"Dress","Nike","Kids' Fashion",32,2.18928286051269,"Red","S","ID145945946",NA,NA
"53",53,"5/10/2022",39,53,"T-shirt","Nike","Men's Fashion",90,3.65170509358743,"Red","M","ID146846847",81,"Arrependimento"
"54",54,"1/11/2022",33,54,"Shoes","H&M","Men's Fashion",61,2.82034122454738,"Blue","S","ID147747748",NA,NA
"55",55,"8/30/2022",78,55,"Sweater","Adidas","Kids' Fashion",43,2.06287301381604,"Red","S","ID148648649",NA,NA
"56",56,"1/28/2022",24,NA,"Dress","Nike","Women's Fashion",85,3.28519902499973,"White","XL","ID149549549",311,"Não informado"
"57",57,"1/17/2022",99,57,"Sweater","Adidas","Women's Fashion",50,2.38338322878856,"Red","M","ID150450450",NA,NA
"58",58,"1/2/2022",83,58,"Shoes","Adidas","Women's Fashion",89,3.4822556818315,"White","L","ID151351351",169,"Não informado"
"59",59,"4/7/2022",38,59,"Dress","Nike","Kids' Fashion",76,3.41260841594766,"Blue","M","ID152252252",NA,NA
"60",60,"12/12/2022",51,60,"Shoes","H&M","Kids' Fashion",27,1.82167178560622,"Yellow","XL","ID153153153",142,"Não informado"
"61",61,"1/21/2022",63,61,"Shoes","Adidas","Women's Fashion",52,2.74911175444245,"Yellow","M","ID154054054",16,"Produto com defeito"
"62",62,"10/11/2022",54,62,"T-shirt","Nike","Men's Fashion",71,3.21775704464385,"Blue","L","ID154954955",271,"Produto com defeito"
"63",63,"8/14/2022",53,63,"Jeans","Zara","Kids' Fashion",76,3.27404903843509,"White","L","ID155855856",NA,NA
"64",64,"3/8/2022",50,64,"Shoes","Gucci","Kids' Fashion",29,2.03673091694035,"Red","M","ID156756757",193,"Não informado"
"65",65,"3/7/2022",6,65,"Shoes","H&M","Kids' Fashion",38,1.95754943064796,"Yellow","XL","ID157657658",NA,NA
"66",66,"8/23/2022",87,66,"Sweater","H&M","Kids' Fashion",21,1.71990407233719,"Red","XL","ID158558558",NA,NA
"67",67,"12/8/2022",84,67,"Jeans","Gucci","Women's Fashion",51,2.40435889697728,"Green","M","ID159459459",NA,NA
"68",68,"1/8/2022",43,68,"T-shirt","Gucci","Women's Fashion",56,2.74809925963367,"Red","S","ID160360360",NA,NA
"69",69,"12/30/2022",3,69,"Sweater","Gucci","Women's Fashion",46,2.55472691937907,"Yellow","M","ID161261261",NA,NA
"70",70,"12/25/2022",6,70,"Dress","Gucci","Women's Fashion",66,2.7761653593132,"Yellow","M","ID162162162",NA,NA
"71",71,"10/23/2022",15,71,"Sweater","Adidas","Women's Fashion",50,2.51528688645206,"White","M","ID163063063",NA,NA
"72",72,"8/27/2022",94,72,"T-shirt","H&M","Women's Fashion",63,2.71940737086355,"Yellow","M","ID163963964",NA,NA
"73",73,"1/12/2022",98,73,"T-shirt","Gucci","Men's Fashion",64,2.95877839813181,"Red","M","ID164864865",NA,NA
"74",74,"1/2/2022",6,74,"Dress","Zara","Women's Fashion",65,2.59789339309686,"White","XL","ID165765766",NA,NA
"75",75,"3/7/2022",42,75,"Dress","H&M","Women's Fashion",51,2.42843644761557,"Blue","S","ID166666667",NA,NA
"76",76,"8/12/2022",54,76,"Jeans","Adidas","Women's Fashion",47,2.60851134673605,"Black","XL","ID167567567",NA,NA
"77",77,"4/25/2022",37,77,"Sweater","H&M","Kids' Fashion",51,2.36888432652734,"Blue","L","ID168468468",305,"Produto com defeito"
"78",78,"1/10/2022",9,78,"T-shirt","Nike","Men's Fashion",43,2.29025271023869,"White","XL","ID169369369",84,"Arrependimento"
"79",79,"1/15/2022",26,79,"T-shirt","Nike","Men's Fashion",60,2.6781814803068,"Red","L","ID170270270",88,"Arrependimento"
"80",80,"10/10/2022",71,80,"Jeans",NA,"Kids' Fashion",34,2.29358363808606,"Red","XL","ID171171171",NA,NA
"81",81,"4/9/2022",72,81,"T-shirt","Nike","Women's Fashion",52,2.29620233799487,"Green","S","ID172072072",339,"Não informado"
"82",82,"1/12/2022",100,82,"Dress","H&M","Kids' Fashion",57,2.94415475931519,"Blue","S","ID172972973",NA,NA
"83",83,"1/17/2022",69,83,"Shoes","Nike","Women's Fashion",69,3.14291205368779,"Blue","L","ID173873874",110,"Arrependimento"
"84",84,"2/12/2022",19,84,"Sweater","Adidas","Women's Fashion",38,1.9768304709124,"Red","L","ID174774775",NA,NA
"85",85,"10/16/2022",84,85,"Shoes","Nike","Women's Fashion",30,1.628499567323,"Yellow","XL","ID175675676",35,"Arrependimento"
"86",86,"1/5/2022",4,86,"Sweater","Zara","Men's Fashion",45,2.34643526513313,"Yellow","M","ID176576576",NA,NA
"87",87,"7/8/2022",21,87,"Shoes","Nike","Men's Fashion",52,2.33002063921136,"Red","S","ID177477477",NA,NA
"88",88,"7/31/2022",85,88,"Dress","Nike","Kids' Fashion",55,2.46028733760107,"White","L","ID178378378",NA,NA
"89",89,"1/11/2022",10,89,"Dress","Gucci","Men's Fashion",47,2.12910013155421,"White","L","ID179279279",NA,NA
"90",90,"1/22/2022",2,90,"Jeans","H&M","Men's Fashion",75,3.14264915733428,"Red","XL","ID180180180",NA,NA
"91",91,"1/14/2022",NA,91,"Jeans","H&M","Kids' Fashion",38,2.18450269701632,"Green","XL","ID181081081",NA,NA
"92",92,"1/11/2022",6,92,"Jeans","Adidas","Men's Fashion",39,2.47400291570576,"White","M","ID181981982",216,"Produto com defeito"
"93",93,"6/5/2022",33,93,"Shoes","Nike","Men's Fashion",72,3.45128312931121,"White","S","ID182882883",NA,NA
"94",94,"9/21/2022",12,94,"Shoes","Zara","Women's Fashion",52,2.16440992190802,"Yellow","XL","ID183783784",NA,NA
"95",95,"2/8/2022",NA,95,"Shoes","Gucci","Women's Fashion",34,2.07190358228234,"Blue","S","ID184684685",245,"Não informado"
"96",96,"7/31/2022",22,96,"Dress","Gucci","Women's Fashion",49,2.38079892883307,"Red","L","ID185585585",NA,NA
"97",97,"11/12/2022",18,97,"Jeans","Gucci","Men's Fashion",30,2.04805278568028,"Green","L","ID186486486",NA,NA
"98",98,"8/12/2022",44,98,"Sweater","Gucci","Kids' Fashion",54,2.81466433636908,"Black","XL","ID187387387",NA,NA
"99",99,"12/8/2022",25,99,"Shoes","Nike","Kids' Fashion",34,2.34883021171173,"Yellow","L","ID188288288",NA,NA
"100",100,"11/30/2022",79,100,"Shoes","Adidas","Kids' Fashion",36,1.96042848098995,"Red","L","ID189189189",210,"Não informado"
"101",101,"11/8/2022",52,101,"Jeans","Zara","Women's Fashion",45,2.55567030038418,"Green","XL","ID190090090",125,"Arrependimento"
"102",102,"6/9/2022",71,102,"Sweater","Gucci","Kids' Fashion",61,2.64997400636135,"Red","S","ID190990991",NA,NA
"103",103,"1/26/2022",57,103,"Jeans","Zara","Women's Fashion",23,1.65073091607007,NA,"XL","ID191891892",NA,NA
"104",104,"3/22/2022",64,104,"Jeans","H&M","Men's Fashion",43,2.30882746782971,"White","M","ID192792793",NA,NA
"105",105,"9/12/2022",35,105,"Jeans","Zara","Women's Fashion",58,2.71369162060206,"Yellow","L","ID193693694",185,"Não informado"
"106",106,"11/22/2022",63,106,"Jeans","H&M","Kids' Fashion",62,2.99216255412633,"Red","L","ID194594594",NA,NA
"107",107,"3/10/2022",19,107,"Sweater","Zara","Men's Fashion",55,2.8997869545228,"Red","L","ID195495495",NA,NA
"108",108,"8/10/2022",80,108,"Sweater","Gucci","Men's Fashion",66,2.99768400416183,"Green","L","ID196396396",NA,NA
"109",109,"4/9/2022",77,109,"Jeans","Nike","Kids' Fashion",24,1.61679345758371,"Black","XL","ID197297297",NA,NA
"110",110,"5/8/2022",22,110,"Sweater","Gucci","Women's Fashion",67,2.92566395026425,"Blue","XL","ID198198198",NA,NA
"111",111,"1/6/2022",99,111,"Shoes","Zara","Women's Fashion",76,3.4886201081157,"Green","M","ID199099099",337,"Arrependimento"
"112",112,"9/18/2022",92,112,"Jeans","Adidas","Men's Fashion",41,1.66191614299493,"White","S","ID200000000",NA,NA
"113",113,"10/28/2022",97,113,"T-shirt","Zara","Men's Fashion",71,3.01553752190148,"White","L","ID200900901",53,"Produto com defeito"
"114",114,"12/12/2022",48,114,"Shoes","H&M","Men's Fashion",53,2.4652479020612,"Red","M","ID201801802",118,"Produto com defeito"
"115",115,"8/20/2022",37,115,"Dress","Adidas","Kids' Fashion",57,2.39771018038509,"Blue","L","ID202702703",NA,NA
"116",116,"9/24/2022",77,116,"Shoes","Adidas","Women's Fashion",31,1.90362913798064,"Green","M","ID203603603",NA,NA
"117",117,"11/9/2022",52,117,"Dress","Zara","Kids' Fashion",54,2.52619660441132,"White","M","ID204504504",NA,NA
"118",118,"10/22/2022",63,118,"Dress","Adidas","Men's Fashion",71,3.34998205077981,"Yellow","S","ID205405405",NA,NA
"119",119,"11/28/2022",10,119,"Jeans","Nike","Men's Fashion",11,1.50914872301198,"Yellow","S","ID206306306",NA,NA
"120",120,"7/30/2022",77,120,"T-shirt","H&M","Men's Fashion",64,3.20771315032828,"Green","M","ID207207207",NA,NA
"121",121,"11/17/2022",95,121,"T-shirt","Gucci","Men's Fashion",NA,2.75587596520992,"Red","M","ID208108108",154,"Produto com defeito"
"122",122,NA,90,122,"Sweater","H&M","Women's Fashion",48,2.45858882958471,"Blue","XL","ID209009009",NA,NA
"123",123,"9/28/2022",80,123,"Sweater","Nike","Women's Fashion",47,2.13513967297416,"Yellow","L","ID209909910",NA,NA
"124",124,"12/28/2022",65,124,"Sweater","H&M","Men's Fashion",36,2.11075953597103,"Black","L","ID210810811",29,"Produto com defeito"
"125",125,"5/31/2022",56,125,"Sweater","H&M","Kids' Fashion",58,2.72079482383674,"Green","L","ID211711712",NA,NA
"126",126,"10/14/2022",65,126,"T-shirt","Nike","Kids' Fashion",63,2.93861299506489,NA,"M","ID212612612",NA,NA
"127",127,"3/7/2022",7,127,"Shoes","Zara","Women's Fashion",90,3.95168553604517,"Yellow","M","ID213513513",NA,NA
"128",128,"10/27/2022",100,128,"T-shirt","H&M","Women's Fashion",82,3.64196708844133,"Green","M","ID214414414",322,"Produto com defeito"
"129",129,"9/17/2022",70,129,"T-shirt",NA,"Women's Fashion",76,3.5454205511718,"Yellow","M","ID215315315",281,"Arrependimento"
"130",130,"1/26/2022",40,130,"Shoes","Nike","Women's Fashion",36,2.20570373759177,"Green","M","ID216216216",7,"Arrependimento"
"131",131,"4/9/2022",70,131,"T-shirt","H&M","Men's Fashion",64,3.06325848662096,"Blue","M","ID217117117",NA,NA
"132",132,"2/15/2022",100,132,"Sweater","Adidas","Women's Fashion",NA,1.85959051343934,"White","M","ID218018018",NA,NA
"133",133,"12/28/2022",29,133,"Shoes","H&M","Kids' Fashion",41,NA,"Blue","XL","ID218918919",162,"Produto com defeito"
"134",134,"1/2/2022",23,134,"Sweater","Zara","Women's Fashion",59,2.74060093439003,"Yellow","S","ID219819820",NA,NA
"135",135,"9/30/2022",94,135,"Dress","Adidas","Kids' Fashion",24,1.87978695224244,"Blue","L","ID220720721",NA,NA
"136",136,"10/20/2022",34,136,"Shoes","Zara","Men's Fashion",49,2.17100938328387,"Blue","XL","ID221621621",5,"Arrependimento"
"137",137,"9/1/2022",44,137,"Dress","Gucci","Kids' Fashion",30,2.16688354473839,"Green","S","ID222522522",NA,NA
"138",138,"6/9/2022",16,138,"Dress","H&M","Women's Fashion",43,2.16134691519042,"Yellow","S","ID223423423",205,"Arrependimento"
"139",139,"12/26/2022",73,139,"Sweater","Gucci","Women's Fashion",45,2.36986049572156,"Blue","XL","ID224324324",NA,NA
"140",140,"11/30/2022",54,140,"Shoes","Zara",NA,67,2.54228391484548,"Green","M","ID225225225",256,"Arrependimento"
"141",141,"9/20/2022",58,141,"Jeans","Nike","Women's Fashion",63,2.79420969485846,"Yellow","L","ID226126126",NA,NA
"142",142,"8/29/2022",46,142,"Shoes","Nike","Men's Fashion",45,1.92499881614529,"White","XL","ID227027027",NA,NA
"143",143,"12/15/2022",88,143,"Shoes","Gucci","Women's Fashion",66,3.24237701560679,"White","L","ID227927928",NA,NA
"144",144,"11/16/2022",75,144,"Shoes","Adidas","Kids' Fashion",78,3.01932277555266,"Blue","M","ID228828829",1,"Não informado"
"145",145,"8/29/2022",34,145,"T-shirt","Zara","Kids' Fashion",67,3.03616773330779,"Green","S","ID229729730",NA,NA
"146",146,"9/11/2022",75,146,"Shoes","Adidas","Women's Fashion",67,3.19563520960051,"Yellow","M","ID230630630",NA,NA
"147",147,"5/12/2022",54,147,"Shoes","Gucci","Kids' Fashion",22,1.61565694962394,"Green","L","ID231531531",NA,NA
"148",148,"11/19/2022",39,148,"Shoes","Adidas","Women's Fashion",48,2.56125661629804,"Black","L","ID232432432",NA,NA
"149",149,"12/27/2022",95,149,"Jeans","Adidas","Women's Fashion",61,3.1024122337512,"Green","M","ID233333333",NA,NA
"150",150,"4/27/2022",67,150,"T-shirt","Nike","Women's Fashion",43,2.61915345691707,"Green","M","ID234234234",56,"Produto com defeito"
"151",151,"6/9/2022",5,151,"Shoes","Adidas","Men's Fashion",52,2.505339885908,"Blue","M","ID235135135",330,"Produto com defeito"
"152",152,"9/21/2022",31,152,"Jeans","Nike","Men's Fashion",18,1.49889960543904,"Green","S","ID236036036",NA,NA
"153",153,"2/22/2022",2,153,"Shoes","Nike","Kids' Fashion",28,1.97074517309192,"Black","S","ID236936937",238,"Produto com defeito"
"154",154,"7/15/2022",51,154,"Dress","Zara","Men's Fashion",47,2.60368587672108,"Blue","L","ID237837838",320,"Não informado"
"155",155,"1/6/2022",91,155,"T-shirt","Gucci","Women's Fashion",17,1.67538274495221,"White","L","ID238738739",349,"Arrependimento"
"156",156,"1/1/2022",92,156,"T-shirt","Adidas","Women's Fashion",62,3.1324181764483,"Red","L","ID239639639",43,"Arrependimento"
"157",157,"6/10/2022",39,157,"Dress","Adidas","Women's Fashion",15,1.45421988874316,"Yellow","S","ID240540540",NA,NA
"158",158,"11/25/2022",99,158,"Shoes","Adidas","Men's Fashion",53,2.76151536798885,"Blue","M","ID241441441",NA,NA
"159",159,"7/30/2022",10,159,"Jeans","Nike","Kids' Fashion",15,1.57942999258252,"Green","S","ID242342342",309,"Arrependimento"
"160",160,"1/28/2022",46,160,"Shoes","Gucci","Women's Fashion",47,2.55579539575913,"Black","L","ID243243243",NA,NA
"161",161,"1/10/2022",80,161,"Sweater","Adidas","Women's Fashion",80,3.08592983213342,"Blue","M","ID244144144",NA,NA
"162",162,"3/24/2022",40,162,"T-shirt","Nike","Women's Fashion",49,2.59431051048617,"Red","L","ID245045045",NA,NA
"163",163,"1/2/2022",18,163,"Dress","Nike","Women's Fashion",39,2.74954299971609,"Green","S","ID245945946",NA,NA
"164",164,"10/30/2022",16,164,"T-shirt","Nike","Men's Fashion",27,1.6864080687472,"Red","L","ID246846847",NA,NA
"165",165,"1/19/2022",34,165,"Jeans","Gucci","Women's Fashion",67,2.85902702783312,"White","XL","ID247747748",317,"Produto com defeito"
"166",166,"12/30/2022",100,166,"Sweater","Adidas","Kids' Fashion",38,2.44577961689969,"White","L","ID248648648",NA,NA
"167",167,"11/17/2022",92,167,"Shoes","Zara","Kids' Fashion",50,2.55367055734452,"Blue","S","ID249549549",NA,NA
"168",168,"1/28/2022",54,168,"Sweater","Gucci","Women's Fashion",57,2.75370465815267,"Green","XL","ID250450450",NA,NA
"169",169,"5/21/2022",62,169,"Shoes","Zara","Men's Fashion",76,NA,"Black","XL","ID251351351",28,"Arrependimento"
"170",170,"1/2/2022",50,170,"Sweater","Gucci","Men's Fashion",33,1.70936460539912,"Yellow","M","ID252252252",NA,NA
"171",171,"6/12/2022",24,171,"Jeans","Nike","Men's Fashion",60,2.70519215196095,"Blue","S","ID253153153",192,"Arrependimento"
"172",172,NA,13,172,"Jeans","Zara","Women's Fashion",38,2.30097351189285,"Yellow","M","ID254054054",NA,NA
"173",173,"1/19/2022",98,173,"Dress","Nike","Kids' Fashion",45,2.24270428227736,"Yellow","S","ID254954955",NA,NA
"174",174,"12/12/2022",82,174,"Jeans","Adidas","Kids' Fashion",56,2.44424239726605,"Black","M","ID255855856",NA,NA
"175",175,"1/11/2022",48,175,"Dress","Adidas","Men's Fashion",70,3.0322672813979,"Blue","S","ID256756757",232,"Arrependimento"
"176",176,"8/30/2022",59,176,"Dress","H&M","Kids' Fashion",100,4.18322630487929,"Red","XL","ID257657657",250,"Não informado"
"177",177,"1/10/2022",56,177,"Sweater","Nike","Kids' Fashion",37,2.02147207672771,"Yellow","M","ID258558558",NA,NA
"178",178,"10/25/2022",93,178,"Jeans","Nike","Women's Fashion",34,2.11872883805636,"Red","XL","ID259459459",170,"Produto com defeito"
"179",179,"10/11/2022",54,179,"Shoes","Adidas","Kids' Fashion",53,2.31382164267309,"Blue","M","ID260360360",10,"Não informado"
"180",180,"3/28/2022",61,180,"T-shirt","Zara","Kids' Fashion",53,2.36887634869715,"Green","M","ID261261261",333,"Arrependimento"
"181",181,"9/13/2022",74,181,"Shoes","H&M","Kids' Fashion",48,2.29185798713653,"Black","L","ID262162162",NA,NA
"182",182,"2/22/2022",39,182,"Jeans","Zara","Men's Fashion",81,3.02765520879856,"Yellow","L","ID263063063",NA,NA
"183",183,"10/26/2022",20,183,"Jeans","Zara","Kids' Fashion",69,2.75479544712346,"Black","M","ID263963964",NA,NA
"184",184,"8/26/2022",67,184,"Sweater","Zara","Women's Fashion",66,2.83813277928696,"Green","L","ID264864865",NA,NA
"185",185,"1/20/2022",38,185,"Sweater","Gucci","Men's Fashion",60,2.55800791872859,"Yellow","L","ID265765766",137,"Não informado"
"186",186,"12/10/2022",16,186,"Jeans","Adidas","Men's Fashion",64,2.78193426773075,"Blue","L","ID266666666",NA,NA
"187",187,"1/19/2022",81,187,"Jeans","Zara","Women's Fashion",72,2.96794141947908,"Green","S","ID267567567",NA,NA
"188",188,"9/30/2022",33,188,"Shoes","Nike","Men's Fashion",33,1.78250740902065,"Green","XL","ID268468468",NA,NA
"189",189,"7/15/2022",55,189,"Jeans","Adidas","Women's Fashion",65,2.9059603246352,"Blue","L","ID269369369",NA,NA
"190",190,"8/26/2022",38,190,"Sweater","Zara","Kids' Fashion",63,2.76594009622378,"Yellow","XL","ID270270270",NA,NA
"191",191,"1/20/2022",48,191,"T-shirt","Gucci","Kids' Fashion",50,2.68738052811868,"Black","M","ID271171171",NA,NA
"192",192,"9/14/2022",NA,192,"Sweater","Zara","Kids' Fashion",84,3.39118979108462,"White","L","ID272072072",NA,NA
"193",193,"1/4/2022",8,193,"T-shirt","H&M","Women's Fashion",71,3.01966432440472,"White","L","ID272972973",NA,NA
"194",194,"10/31/2022",56,194,"Sweater","Adidas","Women's Fashion",41,2.28449999418105,"White","S","ID273873874",NA,NA
"195",195,"3/9/2022",32,195,"Shoes","Zara","Kids' Fashion",74,3.27716429380166,"White","L","ID274774775",NA,NA
"196",196,"1/7/2022",72,196,"Jeans","Gucci","Kids' Fashion",46,2.39253492538613,"Red","M","ID275675675",79,"Não informado"
"197",197,"7/13/2022",48,197,"Jeans","Nike","Kids' Fashion",46,2.57294719127029,"Yellow","XL","ID276576576",319,"Arrependimento"
"198",198,"9/28/2022",NA,198,"T-shirt","Zara","Men's Fashion",63,3.14184584470346,"Blue","XL","ID277477477",NA,NA
"199",199,"9/21/2022",39,199,"T-shirt","Zara","Women's Fashion",40,1.94451804246971,"Black","M","ID278378378",NA,NA
"200",200,"6/12/2022",75,200,"Sweater","H&M","Men's Fashion",65,2.81796375235648,"Black","S","ID279279279",NA,NA
"201",201,"10/16/2022",21,201,"Jeans","Zara","Women's Fashion",35,2.13113470035241,"Yellow","M","ID280180180",NA,NA
"202",202,"5/10/2022",84,202,"Sweater","Nike","Men's Fashion",66,2.9944940263285,"Green","S","ID281081081",NA,NA
"203",203,"11/11/2022",53,203,"Jeans","Zara","Women's Fashion",50,2.57743503937343,"Yellow","S","ID281981982",222,"Arrependimento"
"204",204,"10/10/2022",3,204,"T-shirt","Zara","Kids' Fashion",40,2.08905481889523,"Black","M","ID282882883",227,"Produto com defeito"
"205",205,"1/17/2022",41,205,"T-shirt","H&M","Men's Fashion",44,2.20771842577889,"Yellow","XL","ID283783784",NA,NA
"206",206,"11/27/2022",64,206,"Jeans","Nike","Kids' Fashion",35,1.92446217141516,"Yellow","XL","ID284684684",NA,NA
"207",207,"8/10/2022",30,207,"Sweater","Gucci","Kids' Fashion",60,2.74645542942633,"Black","M","ID285585585",NA,NA
"208",208,"8/24/2022",9,208,"Jeans","Zara","Men's Fashion",73,3.23351266199934,"White","M","ID286486486",NA,NA
"209",209,"10/25/2022",88,209,"Dress","H&M","Women's Fashion",70,3.14138806674889,"Black","XL","ID287387387",11,"Produto com defeito"
"210",210,"9/10/2022",36,210,"Jeans","Adidas","Women's Fashion",51,2.65859993619268,"Yellow","M","ID288288288",266,"Não informado"
